title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
End-to-end streaming keyword spotting,76,2019,"… a traditional, non end-to-end baseline system described in … keyword spotting system; in particular the two main contributions of this work: the neural network topology, and the end-to-end …",https://ieeexplore.ieee.org/abstract/document/8683557/,,0,"neural network, keyword spotting, end-to-end"
Attention-based end-to-end models for small-footprint keyword spotting,126,2018,"… -based model, end-to-end keyword spotting, convolutional neural networks, recurrent … -based end-to-end model in smallfootprint keyword spotting. As depicted in Fig. 1, the end-toend …",https://arxiv.org/abs/1803.10916,,0,"neural network, keyword spotting, end-to-end"
Adversarial examples for improving end-to-end attention-based small-footprint keyword spotting,46,2019,"… examples for improving a neural network based keyword spotting (KWS) system. Specially, in our system, an effective and small-footprint attention-based neural network model is used. …",https://ieeexplore.ieee.org/abstract/document/8683479/,,0,"neural network, keyword spotting, end-to-end"
Convolutional recurrent neural networks for small-footprint keyword spotting,174,2017,"… In Section 2, we describe the end-to-end architecture and training methodologies for small-footprint KWS. In Section 3, we explain the experiments and the corresponding results. In …",https://arxiv.org/abs/1703.05390,,0,"neural network, keyword spotting, end-to-end"
Efficient keyword spotting using dilated convolutions and gating,111,2019,"… -pooling loss trained recurrent neural network using LSTM cells, … to establish an open reference for wake-word detection. … an end-to-end stateless modeling for keyword spotting, based …",https://ieeexplore.ieee.org/abstract/document/8683474/,,0,"neural network, keyword spotting, end-to-end"
Streaming small-footprint keyword spotting using sequence-to-sequence models,103,2017,"… ABSTRACT We develop streaming keyword spotting systems using a recurrent neural network transducer (RNN-T) model: an all-neural, end-toend trained, sequence-to-sequence …",https://ieeexplore.ieee.org/abstract/document/8268974/,,0,"neural network, keyword spotting, end-to-end"
Towards end-to-end text spotting with convolutional recurrent neural networks,254,2017,"… of scene text spotting: “End-to-End” and “Word Spotting”. “End-to-End” protocol requires that … in the provided contextualized lexicon, while “Word Spotting” on the other hand, only looks …",http://openaccess.thecvf.com/content_iccv_2017/html/Li_Towards_End-To-End_Text_ICCV_2017_paper.html,,0,"neural network, keyword spotting, end-to-end"
Trainable frontend for robust and far-field keyword spotting,176,2017,… We have also formulated PCEN as neural network layers. This formulation not only allows us to perform end-to-end training but also to generalize PCEN to have frequency- or time-…,https://ieeexplore.ieee.org/abstract/document/7953242/,,0,"neural network, keyword spotting, end-to-end"
Streaming keyword spotting on mobile devices,140,2020,… In this paper we use neural network topology called TC-ResNet14 [22]. To … We built a library allowing end-to-end model conversion to streaming inference on mobile phones using …,https://arxiv.org/abs/2005.06720,,0,"neural network, keyword spotting, end-to-end"
Mask textspotter: An end-to-end trainable neural network for spotting text with arbitrary shapes,736,2018,"… Besides, our method also achieves remarkable results on word spotting and end-to-end recognition. Compared with the state of the art, the performance of our method has significant …",http://openaccess.thecvf.com/content_ECCV_2018/html/Pengyuan_Lyu_Mask_TextSpotter_An_ECCV_2018_paper.html,,0,"neural network, keyword spotting, end-to-end"
Temporal convolution for real-time keyword spotting on mobile devices,191,2019,… to wide adoption of convolutional neural networks (CNNs) in … models including an end-to-end pipeline for training models … a fast and accurate convolutional neural network for real-time …,https://arxiv.org/abs/1904.03814,,0,"neural network, keyword spotting, end-to-end"
Effective combination of DenseNet and BiLSTM for keyword spotting,86,2019,"… neural network benchmark on a subset of the Wall Street Journal corpus. For keyword spotting … In[22], an attentionbased end-to-end model is introduced for small-footprint KWS, which …",https://ieeexplore.ieee.org/abstract/document/8607038/,,0,"neural network, keyword spotting, end-to-end"
End-to-end ASR-free keyword search from speech,134,2017,"… of a time-localized KWS neural network that predicts the location of the keyword, that opens up the … Zhang and JR Glass, “Unsupervised spoken keyword spotting via segmental DTW on …",https://ieeexplore.ieee.org/abstract/document/8059818/,,0,"neural network, keyword spotting, end-to-end"
Keyword transformer: A self-attention model for keyword spotting,151,2021,"… keyword spotting [12, 13], but only as an extension to other architectures, such as convolutional or recurrent neural networks… of this architecture for keyword spotting and find that it …",https://arxiv.org/abs/2104.00769,,0,"neural network, keyword spotting, end-to-end"
Federated learning for keyword spotting,339,2019,… The latter assumption does not hold in the context of neural networks for speech-based … The use of of memory-efficient end-toend models [12] in place of the presented class-based …,https://ieeexplore.ieee.org/abstract/document/8683546/,,0,"neural network, keyword spotting, end-to-end"
Word spotting and recognition using deep embedding,113,2018,"… top of HWNet v2 network [15] for learning efficient word image … for word attribute embedding which enables both word spotting … Yao, “An end-to-end trainable neural network for image-…",https://ieeexplore.ieee.org/abstract/document/8395102/,,0,"neural network, keyword spotting, end-to-end"
Deep residual learning for small-footprint keyword spotting,273,2018,"… The application of neural networks to keyword spotting, of … better results using convolutional neural networks (CNNs). They … recurrent neural networks to the keyword spotting task [7, 8], …",https://ieeexplore.ieee.org/abstract/document/8462688/,,0,"neural network, keyword spotting, end-to-end"
